"Palabra clave",Dificultad,Posición,"Posición anterior","Posición de las Funciones SERP","Vol. de búsqueda","Intención de búsqueda","Funciones SERP",Competencia,CPC,URL,Tráfico,"Cuota del tráfico","Coste del tráfico"
"proceso de vinculacion del talento humano",18,96,96,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"proceso de onboarding ejemplo",19,50,50,,10,"I, N","Reseñas, Enlaces del sitio, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.39,0,https://www.openhr.cloud/blog/onboarding-para-empresa,0,0,0
"proceso onboarding pdf",14,99,99,,10,I,"Reseñas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/onboarding-para-empresa,0,0,0
"procedimiento para medir la productividad del recurso humano",10,10,10,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Anuncios al final, Vistas creadas con IA, Búsquedas relacionadas, Anuncios intermedios",0,0,https://www.openhr.cloud/blog/como-medir-la-productividad-en-el-trabajo,0,0,0
"ejemplos de escenarios laborales",6,88,88,,10,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/all,0,0,0
"escasez de recursos humanos",8,43,43,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/9-claves-para-gestionar-los-recursos-humanos-en-tiempos-de-crisis,0,0,0
"podcast organizacion",10,90,90,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas, Imagen",0,0,https://www.openhr.cloud/podcast-openhr,0,0,0
"podcast administracion de empresas",9,63,63,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes",0.21,0,https://www.openhr.cloud/podcast-openhr,0,0,0
"programa para control de vacaciones gratis",8,21,21,,10,I,"Reseñas, Vídeo, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/ausencias-y-vacaciones,0,0,0
"soft skills ejemplos",22,94,94,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.4,0.01,https://www.openhr.cloud/blog/soft-skills,0,0,0
"optimizar costes y plazos",6,24,24,,0,I,"Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/optimizar-gestion-de-gastos,0,0,0
"profesional de recursos humanos",8,56,56,,10,I,"Reseñas, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.18,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,0,0,0
"profesional de recursos humanos",8,33,33,,10,I,"Reseñas, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.18,0,https://www.openhr.cloud/blog/como-llegar-a-ser-un-profesional-de-los-recursos-humanos,0,0,0
"buena selección de personal",7,75,75,,0,"I, N","Reseñas, Enlaces del sitio, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"kpis recursos humanos",7,45,69,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.21,0.67,https://www.openhr.cloud/blog/kpis-recursos-humanos,0,0,0
portalempleado,51,80,,Reseñas,2900,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"pruebas de desempeño software",16,93,93,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/evaluacion-del-desempeno-y-objetivos,0,0,0
"desarrollo horizontal y vertical capital humano",8,61,61,,10,I,"Reseñas, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,0,0,0
"tendencias rrhh 2020",7,59,59,,20,I,"Reseñas, Vídeo, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/tendencias-recursos-humanos,0,0,0
"ambiente laboral ejemplos",6,1,1,"Vistas creadas con IA",10,I,"Reseñas, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/ambiente-laboral-toxico,0,0,0
"base de datos y sistemas de información de recursos humanos",10,54,54,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas, Anuncios intermedios",0,0,https://www.openhr.cloud/blog/la-importancia-de-la-calidad-de-datos-en-recursos-humanos,0,0,0
"gestion 360 administrativo operativo",8,9,9,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/evaluacion-360-grados,0,0,0
"control horario iberley",18,68,68,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.33,0,https://www.openhr.cloud/blog/control-horario,0,0,0
"portal empleado grupo mas",10,58,58,,20,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal empleado jd",8,43,,Imágenes,90,I,"Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal empleado lontana",11,41,41,,10,I,"Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal empleado normadat",12,36,36,,10,"I, N","Enlaces del sitio, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal empleado unc",8,10,10,,10,I,"Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal empleado wolters kluwer españa",12,64,64,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado labor10",10,24,24,,20,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"feedback apreciativo",3,15,15,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"feedback apreciativo",3,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0,0,"https://www.openhr.cloud/blog/feedback-a-empleados#:~:text=Feedback%20apreciativo,el%20d%C3%ADa:%20gran%20trabajo.%E2%80%9D",0,0,0
"feedback de desempeño",10,58,58,,10,"I, N","Reseñas, Enlaces del sitio, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"feedback laboral ejemplos",8,46,46,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"feedback objetivo",13,43,43,,10,I,"Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"feedback oportuno",8,41,41,,10,I,"Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"portal del empleado atlas",4,36,36,,10,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado interbus",9,36,36,,10,"I, N","Enlaces del sitio, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado jd",9,73,,Imágenes,90,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado lupa",22,49,,Imágenes,210,I,"Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado recursos humanos",19,56,56,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado the mail company",5,65,65,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado limasa 3",17,65,65,Imágenes,10,I,"Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"portal del empleado limasa 3",17,16,16,,10,I,"Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"a3hrgo portal del empleado",10,38,38,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.06,0.39,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"beneficios sociales recursos humanos",7,79,79,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Anuncios arriba, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/compensacion-beneficios-que-es-y-su-importancia,0,0,0
"human analytics",7,16,16,,10,"L, C","Reseñas, Vídeo, Imágenes, GBP, Búsquedas relacionadas",0.05,0,https://www.openhr.cloud/blog/people-analytics,0,0,0
"human analytics",7,77,77,,10,"L, C","Reseñas, Vídeo, Imágenes, GBP, Búsquedas relacionadas",0.05,0,https://www.openhr.cloud/es/people-analytics,0,0,0
"onboarding que es",22,52,52,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Encontrar resultados en, Vistas creadas con IA, Búsquedas relacionadas",0.01,0.01,https://www.openhr.cloud/blog/onboarding-para-empresa,0,0,0
"tienen la función de identificar visualmente instituciones u organizaciones",8,34,34,,10,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/all,0,0,0
"reclutamiento interno y externo",11,58,58,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/reclutamiento-interno,0,0,0
"kpis de recursos humanos",7,37,37,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.23,0.03,https://www.openhr.cloud/blog/kpis-recursos-humanos,0,0,0
"feedback definicion administracion",22,20,20,,10,I,"Fragmentos destacados, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/feedback-a-empleados,0,0,0
"desconexion laboral",21,44,71,,90,I,"Fragmentos destacados, Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/desconexion-laboral,0,0,0
"que significa reclutar personal",17,26,26,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,0,0,0
"iberia portal del empleado",18,50,,Imágenes,140,I,"Reseñas, Imágenes, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/es/portal-del-empleado,0,0,0
"experiencia del trabajador",8,42,42,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.14,0,https://www.openhr.cloud/blog/experiencia-del-empleado,0,0,0
"experiencia de trabajador",12,52,52,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/experiencia-del-empleado,0,0,0
"satisfaccion del trabajador",7,24,24,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion del trabajador",7,1,1,"Vistas creadas con IA",20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfaccion del empleado",7,33,33,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.04,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion del empleado",7,1,1,"Vistas creadas con IA",20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.04,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"definicion satisfaccion laboral",7,68,68,,10,I,"Fragmentos destacados, Reseñas, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion de trabajo",8,25,25,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfacción en el trabajo definicion",7,76,76,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion por el trabajo bien hecho",10,27,27,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion por el trabajo bien hecho",10,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfaccion personal en el trabajo",8,72,72,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"definicion de satisfaccion laboral",8,16,16,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"definicion de satisfaccion laboral",8,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfacción laboral concepto",8,42,42,,10,I,"Fragmentos destacados, Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion laboral ejemplos",7,26,26,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion laboral ejemplos",7,1,1,"Vistas creadas con IA",20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfaccion laboral que es",8,19,19,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion laboral que es",8,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfaccion laboral y desempeño",12,9,9,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"concepto de satisfaccion laboral",7,16,16,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"concepto de satisfaccion laboral",7,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"satisfaccion laboral definicion",8,18,18,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/satisfaccion-laboral,0,0,0
"satisfaccion laboral definicion",8,1,1,"Vistas creadas con IA",20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,"https://www.openhr.cloud/blog/satisfaccion-laboral#:~:text=1.,el%20ausentismo%20o%20absentismo%20laboral.",0,0,0
"insatisfacción laboral significado",7,4,4,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,0,0,0
"satisfacción e insatisfacción laboral",7,3,3,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,0,0,0
"gestion de tiempo en una empresa",18,54,54,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Panel de información, Anuncios al final, Vistas creadas con IA, Búsquedas relacionadas, Anuncios intermedios",0,0,https://www.openhr.cloud/blog/gestion-del-tiempo,0,0,0
"gestion del tiempo ejemplo",17,69,69,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/gestion-del-tiempo,0,0,0
"gestion del tiempo en una empresa",17,58,58,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/gestion-del-tiempo,0,0,0
"jornada intensiva de mejora visual",9,98,98,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/jornada-intensiva-puede-beneficiar-a-mi-empresa,0,0,0
"one to one en español",10,85,85,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes",0,0,https://www.openhr.cloud/blog/reuniones-one-to-one-que-son-y-consejos-para-implementarlas,0,0,0
"one to one significado",10,69,69,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/reuniones-one-to-one-que-son-y-consejos-para-implementarlas,0,0,0
"to one to",10,24,24,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/reuniones-one-to-one-que-son-y-consejos-para-implementarlas,0,0,0
"one to one español",10,95,95,,10,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Infracción de copyright, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/reuniones-one-to-one-que-son-y-consejos-para-implementarlas,0,0,0
"control de horario de entrada y salida de empleados excel",6,73,73,,10,I,"Reseñas, Vídeo, Imágenes, Anuncios al final, Búsquedas relacionadas",0,0,https://lp.openhr.cloud/es/plantilla-excel-control-horario,0,0,0
"control horario excel",14,48,48,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.44,0.72,https://lp.openhr.cloud/es/plantilla-excel-control-horario,0,0,0
"control de horarios laboral",35,77,77,,0,I,"Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/control-horario,0,0,0
"maquina registro jornada laboral",10,29,29,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",1,0.47,https://www.openhr.cloud/blog/control-horario,0,0,0
"experiencia candidato",8,91,91,,10,I,"Reseñas, Imágenes",0,0,https://lp.openhr.cloud/es/mejorar-experiencia-candidato,0,0,0
"contratacion de personal recursos humanos",19,98,98,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"seleccion y contratacion de personal",23,26,26,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.17,0,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,0,0,0
"seleccion y contratacion de personal",23,75,75,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.17,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"contratacion de personal en una empresa",7,44,44,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"plan de contratacion de personal",8,49,49,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"consejos selección de personal",7,38,38,,0,"I, N","Reseñas, Enlaces del sitio, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-personal,0,0,0
"optimizar costos en una empresa",7,46,46,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/optimizar-gestion-de-gastos,0,0,0
"el bienestar laboral",11,59,59,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.14,0,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"bienestar de los empleados",13,46,46,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"bienestar y motivación laboral",9,94,94,,10,"I, N","Enlaces del sitio, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"bienestar empleados",9,76,76,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.37,1.49,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"bienestar de los trabajadores en la empresa",11,48,48,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.43,0,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"bienestar y productividad laboral",6,79,79,,10,"I, N","Reseñas, Enlaces del sitio, Imágenes, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/bienestar-laboral-salud-mental,0,0,0
"tipos de comunicacion interna",8,29,29,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/comunicacion-interna,0,0,0
"la comunicacion interna",15,1,1,"Vistas creadas con IA",20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/comunicacion-interna,0,0,0
"baja trabajo",22,83,83,,40,I,"Reseñas, Vídeo, Noticias destacadas, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/baja-laboral,0,0,0
"control de presencia por huella dactilar",14,74,74,,10,C,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Resultados de compras, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/control-acceso-biometrico,0,0,0
"evaluacion 360 wikipedia",19,66,66,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/evaluacion-360-grados,0,0,0
"politicas de comunicacion interna de una empresa",8,20,20,,10,"I, N","Reseñas, Enlaces del sitio, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/comunicacion-interna,0,0,0
"programa turnos de trabajo rotativos gratis",29,82,82,,10,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/turnos-rotativos-ventajas-y-desventajas,0,0,0
"registro horas tiempo parcial excel",5,89,89,,10,"I, N","Reseñas, Enlaces del sitio, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/control-horario,0,0,0
"sistema de control biometrico para personal",16,20,20,,10,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/control-acceso-biometrico,0,0,0
"formato para horarios de trabajo",11,40,40,,10,I,"Reseñas, Imágenes, Búsquedas relacionadas",1,0,https://lp.openhr.cloud/plantilla-horarios-y-turnos,0,0,0
"concepto de comunicacion en informatica",28,63,63,,10,I,"Fragmentos destacados, Reseñas, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/comunicacion-interna,0,0,0
"gestion documental de una empresa",10,24,24,,10,"I, N","Reseñas, Enlaces del sitio, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.14,0,https://www.openhr.cloud/blog/funciones-software-de-gestion-documental-y-firma-digital,0,0,0
"plantilla excel horario laboral",10,72,66,,70,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0.59,0.59,https://lp.openhr.cloud/es/plantilla-excel-control-horario,0,0,0
"cuadrante horarios excel",16,90,90,,20,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0.4,1.12,https://lp.openhr.cloud/es/plantilla-excel-control-horario,0,0,0
"empresas de archivos de documentos",4,50,50,,10,"L, C","Resultados locales, Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/gestion-documental,0,0,0
"planillas de vacaciones en excel",5,38,38,,20,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.46,0,https://lp.openhr.cloud/es/plantilla-excel-vacaciones,0,0,0
"recursos humanos para empresas",41,73,73,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.71,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,0,0,0
"como se reclutar personal",7,33,33,,10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,0,0,0
"como se reclutar personal",7,1,1,"Vistas creadas con IA",10,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,0,0,0
